input,chain_of_thought,output
What is 566 × 80?,Multiplying 566 by 80 results in...,45280
What is 566 ÷ 80?,Dividing 566 by 80 gives...,7.08
If I have 18 apples and get 2 more...,18 apples + 2 apples = total...,20 apples
"Find the next number in the sequence: [10, 14, 9, 20]","The pattern increases by 4, so the next number is...",39
A car moves at 114 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 114 × 5 =,570 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 74 + 66?,Adding 74 to 66 gives...,140
What is 74 - 66?,Subtracting 66 from 74 leaves...,8
What is 74 × 66?,Multiplying 74 by 66 results in...,4884
What is 74 ÷ 66?,Dividing 74 by 66 gives...,1.12
If I have 13 apples and get 6 more...,13 apples + 6 apples = total...,19 apples
"Find the next number in the sequence: [10, 8, 24, 16]","The pattern increases by -2, so the next number is...",48
A car moves at 76 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 76 × 1 =,76 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 88 + 832?,Adding 88 to 832 gives...,920
What is 88 - 832?,Subtracting 832 from 88 leaves...,-744
What is 88 × 832?,Multiplying 88 by 832 results in...,73216
What is 88 ÷ 832?,Dividing 88 by 832 gives...,0.11
If I have 15 apples and get 5 more...,15 apples + 5 apples = total...,20 apples
"Find the next number in the sequence: [3, 14, 21, 16]","The pattern increases by 11, so the next number is...",51
A car moves at 119 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 119 × 5 =,595 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 406 + 161?,Adding 406 to 161 gives...,567
What is 406 - 161?,Subtracting 161 from 406 leaves...,245
What is 406 × 161?,Multiplying 406 by 161 results in...,65366
What is 406 ÷ 161?,Dividing 406 by 161 gives...,2.52
If I have 2 apples and get 3 more...,2 apples + 3 apples = total...,5 apples
"Find the next number in the sequence: [4, 8, 12, 24]","The pattern increases by 4, so the next number is...",54
A car moves at 65 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 65 × 4 =,260 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 969 + 602?,Adding 969 to 602 gives...,1571
What is 969 - 602?,Subtracting 602 from 969 leaves...,367
What is 969 × 602?,Multiplying 969 by 602 results in...,583338
What is 969 ÷ 602?,Dividing 969 by 602 gives...,1.61
If I have 12 apples and get 5 more...,12 apples + 5 apples = total...,17 apples
"Find the next number in the sequence: [10, 8, 21, 20]","The pattern increases by -2, so the next number is...",48
A car moves at 42 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 42 × 4 =,168 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 781 + 350?,Adding 781 to 350 gives...,1131
What is 781 - 350?,Subtracting 350 from 781 leaves...,431
What is 781 × 350?,Multiplying 781 by 350 results in...,273350
What is 781 ÷ 350?,Dividing 781 by 350 gives...,2.23
If I have 9 apples and get 5 more...,9 apples + 5 apples = total...,14 apples
"Find the next number in the sequence: [1, 18, 9, 24]","The pattern increases by 17, so the next number is...",52
A car moves at 87 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 87 × 3 =,261 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 215 + 111?,Adding 215 to 111 gives...,326
What is 215 - 111?,Subtracting 111 from 215 leaves...,104
What is 215 × 111?,Multiplying 215 by 111 results in...,23865
What is 215 ÷ 111?,Dividing 215 by 111 gives...,1.94
If I have 9 apples and get 1 more...,9 apples + 1 apples = total...,10 apples
"Find the next number in the sequence: [9, 14, 30, 12]","The pattern increases by 5, so the next number is...",40
A car moves at 54 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 54 × 1 =,54 km
What is the capital of France?,The capital city of France is...,Paris
What is 620 + 117?,Adding 620 to 117 gives...,737
What is 620 - 117?,Subtracting 117 from 620 leaves...,503
What is 620 × 117?,Multiplying 620 by 117 results in...,72540
What is 620 ÷ 117?,Dividing 620 by 117 gives...,5.3
If I have 4 apples and get 5 more...,4 apples + 5 apples = total...,9 apples
"Find the next number in the sequence: [10, 4, 24, 24]","The pattern increases by -6, so the next number is...",19
A car moves at 91 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 91 × 5 =,455 km
What is the capital of France?,The capital city of France is...,Paris
What is 510 + 116?,Adding 510 to 116 gives...,626
What is 510 - 116?,Subtracting 116 from 510 leaves...,394
What is 510 × 116?,Multiplying 510 by 116 results in...,59160
What is 510 ÷ 116?,Dividing 510 by 116 gives...,4.4
If I have 14 apples and get 7 more...,14 apples + 7 apples = total...,21 apples
"Find the next number in the sequence: [4, 12, 12, 16]","The pattern increases by 8, so the next number is...",33
A car moves at 70 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 70 × 2 =,140 km
What is the capital of France?,The capital city of France is...,Paris
What is 859 + 97?,Adding 859 to 97 gives...,956
What is 859 - 97?,Subtracting 97 from 859 leaves...,762
What is 859 × 97?,Multiplying 859 by 97 results in...,83323
What is 859 ÷ 97?,Dividing 859 by 97 gives...,8.86
If I have 19 apples and get 8 more...,19 apples + 8 apples = total...,27 apples
"Find the next number in the sequence: [8, 4, 21, 36]","The pattern increases by -4, so the next number is...",1
A car moves at 64 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 64 × 5 =,320 km
What is the capital of France?,The capital city of France is...,Paris
What is 133 + 627?,Adding 133 to 627 gives...,760
What is 133 - 627?,Subtracting 627 from 133 leaves...,-494
What is 133 × 627?,Multiplying 133 by 627 results in...,83391
What is 133 ÷ 627?,Dividing 133 by 627 gives...,0.21
If I have 15 apples and get 3 more...,15 apples + 3 apples = total...,18 apples
"Find the next number in the sequence: [10, 2, 18, 12]","The pattern increases by -8, so the next number is...",42
A car moves at 33 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 33 × 2 =,66 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 659 + 20?,Adding 659 to 20 gives...,679
What is 659 - 20?,Subtracting 20 from 659 leaves...,639
What is 659 × 20?,Multiplying 659 by 20 results in...,13180
What is 659 ÷ 20?,Dividing 659 by 20 gives...,32.95
If I have 2 apples and get 3 more...,2 apples + 3 apples = total...,5 apples
"Find the next number in the sequence: [1, 18, 12, 28]","The pattern increases by 17, so the next number is...",37
A car moves at 40 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 40 × 5 =,200 km
What is the capital of France?,The capital city of France is...,Paris
What is 797 + 202?,Adding 797 to 202 gives...,999
What is 797 - 202?,Subtracting 202 from 797 leaves...,595
What is 797 × 202?,Multiplying 797 by 202 results in...,160994
What is 797 ÷ 202?,Dividing 797 by 202 gives...,3.95
If I have 7 apples and get 3 more...,7 apples + 3 apples = total...,10 apples
"Find the next number in the sequence: [6, 20, 15, 20]","The pattern increases by 14, so the next number is...",44
A car moves at 101 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 101 × 2 =,202 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 234 + 633?,Adding 234 to 633 gives...,867
What is 234 - 633?,Subtracting 633 from 234 leaves...,-399
What is 234 × 633?,Multiplying 234 by 633 results in...,148122
What is 234 ÷ 633?,Dividing 234 by 633 gives...,0.37
If I have 17 apples and get 10 more...,17 apples + 10 apples = total...,27 apples
"Find the next number in the sequence: [6, 14, 18, 36]","The pattern increases by 8, so the next number is...",13
A car moves at 50 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 50 × 2 =,100 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 954 + 49?,Adding 954 to 49 gives...,1003
What is 954 - 49?,Subtracting 49 from 954 leaves...,905
What is 954 × 49?,Multiplying 954 by 49 results in...,46746
What is 954 ÷ 49?,Dividing 954 by 49 gives...,19.47
If I have 19 apples and get 1 more...,19 apples + 1 apples = total...,20 apples
"Find the next number in the sequence: [4, 12, 24, 24]","The pattern increases by 8, so the next number is...",48
A car moves at 92 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 92 × 2 =,184 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 188 + 830?,Adding 188 to 830 gives...,1018
What is 188 - 830?,Subtracting 830 from 188 leaves...,-642
What is 188 × 830?,Multiplying 188 by 830 results in...,156040
What is 188 ÷ 830?,Dividing 188 by 830 gives...,0.23
If I have 19 apples and get 5 more...,19 apples + 5 apples = total...,24 apples
"Find the next number in the sequence: [9, 14, 3, 32]","The pattern increases by 5, so the next number is...",40
A car moves at 35 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 35 × 3 =,105 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 644 + 57?,Adding 644 to 57 gives...,701
What is 644 - 57?,Subtracting 57 from 644 leaves...,587
What is 644 × 57?,Multiplying 644 by 57 results in...,36708
What is 644 ÷ 57?,Dividing 644 by 57 gives...,11.3
If I have 9 apples and get 4 more...,9 apples + 4 apples = total...,13 apples
"Find the next number in the sequence: [9, 14, 27, 32]","The pattern increases by 5, so the next number is...",25
A car moves at 62 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 62 × 2 =,124 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 703 + 928?,Adding 703 to 928 gives...,1631
What is 703 - 928?,Subtracting 928 from 703 leaves...,-225
What is 703 × 928?,Multiplying 703 by 928 results in...,652384
What is 703 ÷ 928?,Dividing 703 by 928 gives...,0.76
If I have 4 apples and get 3 more...,4 apples + 3 apples = total...,7 apples
"Find the next number in the sequence: [9, 20, 24, 28]","The pattern increases by 11, so the next number is...",51
A car moves at 99 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 99 × 1 =,99 km
What is the capital of France?,The capital city of France is...,Paris
What is 375 + 561?,Adding 375 to 561 gives...,936
What is 375 - 561?,Subtracting 561 from 375 leaves...,-186
What is 375 × 561?,Multiplying 375 by 561 results in...,210375
What is 375 ÷ 561?,Dividing 375 by 561 gives...,0.67
If I have 7 apples and get 1 more...,7 apples + 1 apples = total...,8 apples
"Find the next number in the sequence: [7, 18, 15, 24]","The pattern increases by 11, so the next number is...",21
A car moves at 102 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 102 × 4 =,408 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 54 + 763?,Adding 54 to 763 gives...,817
What is 54 - 763?,Subtracting 763 from 54 leaves...,-709
What is 54 × 763?,Multiplying 54 by 763 results in...,41202
What is 54 ÷ 763?,Dividing 54 by 763 gives...,0.07
If I have 20 apples and get 3 more...,20 apples + 3 apples = total...,23 apples
"Find the next number in the sequence: [7, 12, 12, 40]","The pattern increases by 5, so the next number is...",45
A car moves at 60 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 60 × 1 =,60 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 737 + 494?,Adding 737 to 494 gives...,1231
What is 737 - 494?,Subtracting 494 from 737 leaves...,243
What is 737 × 494?,Multiplying 737 by 494 results in...,364078
What is 737 ÷ 494?,Dividing 737 by 494 gives...,1.49
If I have 8 apples and get 3 more...,8 apples + 3 apples = total...,11 apples
"Find the next number in the sequence: [5, 14, 30, 8]","The pattern increases by 9, so the next number is...",14
A car moves at 37 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 37 × 2 =,74 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 700 + 790?,Adding 700 to 790 gives...,1490
What is 700 - 790?,Subtracting 790 from 700 leaves...,-90
What is 700 × 790?,Multiplying 700 by 790 results in...,553000
What is 700 ÷ 790?,Dividing 700 by 790 gives...,0.89
If I have 9 apples and get 10 more...,9 apples + 10 apples = total...,19 apples
"Find the next number in the sequence: [2, 8, 18, 4]","The pattern increases by 6, so the next number is...",16
A car moves at 95 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 95 × 1 =,95 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 701 + 220?,Adding 701 to 220 gives...,921
What is 701 - 220?,Subtracting 220 from 701 leaves...,481
What is 701 × 220?,Multiplying 701 by 220 results in...,154220
What is 701 ÷ 220?,Dividing 701 by 220 gives...,3.19
If I have 8 apples and get 1 more...,8 apples + 1 apples = total...,9 apples
"Find the next number in the sequence: [9, 10, 30, 40]","The pattern increases by 1, so the next number is...",26
A car moves at 34 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 34 × 1 =,34 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 333 + 416?,Adding 333 to 416 gives...,749
What is 333 - 416?,Subtracting 416 from 333 leaves...,-83
What is 333 × 416?,Multiplying 333 by 416 results in...,138528
What is 333 ÷ 416?,Dividing 333 by 416 gives...,0.8
If I have 20 apples and get 2 more...,20 apples + 2 apples = total...,22 apples
"Find the next number in the sequence: [10, 2, 27, 28]","The pattern increases by -8, so the next number is...",42
A car moves at 86 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 86 × 5 =,430 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 855 + 814?,Adding 855 to 814 gives...,1669
What is 855 - 814?,Subtracting 814 from 855 leaves...,41
What is 855 × 814?,Multiplying 855 by 814 results in...,695970
What is 855 ÷ 814?,Dividing 855 by 814 gives...,1.05
If I have 6 apples and get 4 more...,6 apples + 4 apples = total...,10 apples
"Find the next number in the sequence: [1, 20, 9, 36]","The pattern increases by 19, so the next number is...",39
A car moves at 88 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 88 × 5 =,440 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 273 + 34?,Adding 273 to 34 gives...,307
What is 273 - 34?,Subtracting 34 from 273 leaves...,239
What is 273 × 34?,Multiplying 273 by 34 results in...,9282
What is 273 ÷ 34?,Dividing 273 by 34 gives...,8.03
If I have 14 apples and get 6 more...,14 apples + 6 apples = total...,20 apples
"Find the next number in the sequence: [8, 4, 12, 28]","The pattern increases by -4, so the next number is...",21
A car moves at 88 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 88 × 5 =,440 km
What is the capital of France?,The capital city of France is...,Paris
What is 310 + 647?,Adding 310 to 647 gives...,957
What is 310 - 647?,Subtracting 647 from 310 leaves...,-337
What is 310 × 647?,Multiplying 310 by 647 results in...,200570
What is 310 ÷ 647?,Dividing 310 by 647 gives...,0.48
If I have 3 apples and get 4 more...,3 apples + 4 apples = total...,7 apples
"Find the next number in the sequence: [9, 2, 6, 20]","The pattern increases by -7, so the next number is...",38
A car moves at 88 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 88 × 4 =,352 km
What is the capital of France?,The capital city of France is...,Paris
What is 473 + 129?,Adding 473 to 129 gives...,602
What is 473 - 129?,Subtracting 129 from 473 leaves...,344
What is 473 × 129?,Multiplying 473 by 129 results in...,61017
What is 473 ÷ 129?,Dividing 473 by 129 gives...,3.67
If I have 3 apples and get 4 more...,3 apples + 4 apples = total...,7 apples
"Find the next number in the sequence: [8, 14, 18, 12]","The pattern increases by 6, so the next number is...",36
A car moves at 37 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 37 × 1 =,37 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 78 + 165?,Adding 78 to 165 gives...,243
What is 78 - 165?,Subtracting 165 from 78 leaves...,-87
What is 78 × 165?,Multiplying 78 by 165 results in...,12870
What is 78 ÷ 165?,Dividing 78 by 165 gives...,0.47
If I have 9 apples and get 3 more...,9 apples + 3 apples = total...,12 apples
"Find the next number in the sequence: [8, 16, 18, 32]","The pattern increases by 8, so the next number is...",48
A car moves at 120 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 120 × 3 =,360 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 688 + 205?,Adding 688 to 205 gives...,893
What is 688 - 205?,Subtracting 205 from 688 leaves...,483
What is 688 × 205?,Multiplying 688 by 205 results in...,141040
What is 688 ÷ 205?,Dividing 688 by 205 gives...,3.36
If I have 17 apples and get 4 more...,17 apples + 4 apples = total...,21 apples
"Find the next number in the sequence: [5, 16, 21, 32]","The pattern increases by 11, so the next number is...",21
A car moves at 88 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 88 × 1 =,88 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 122 + 618?,Adding 122 to 618 gives...,740
What is 122 - 618?,Subtracting 618 from 122 leaves...,-496
What is 122 × 618?,Multiplying 122 by 618 results in...,75396
What is 122 ÷ 618?,Dividing 122 by 618 gives...,0.2
If I have 18 apples and get 2 more...,18 apples + 2 apples = total...,20 apples
"Find the next number in the sequence: [9, 14, 15, 40]","The pattern increases by 5, so the next number is...",45
A car moves at 103 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 103 × 5 =,515 km
What is the capital of France?,The capital city of France is...,Paris
What is 786 + 929?,Adding 786 to 929 gives...,1715
What is 786 - 929?,Subtracting 929 from 786 leaves...,-143
What is 786 × 929?,Multiplying 786 by 929 results in...,730194
What is 786 ÷ 929?,Dividing 786 by 929 gives...,0.85
If I have 10 apples and get 5 more...,10 apples + 5 apples = total...,15 apples
"Find the next number in the sequence: [4, 8, 21, 16]","The pattern increases by 4, so the next number is...",29
A car moves at 66 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 66 × 5 =,330 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 50 + 988?,Adding 50 to 988 gives...,1038
What is 50 - 988?,Subtracting 988 from 50 leaves...,-938
What is 50 × 988?,Multiplying 50 by 988 results in...,49400
What is 50 ÷ 988?,Dividing 50 by 988 gives...,0.05
If I have 4 apples and get 4 more...,4 apples + 4 apples = total...,8 apples
"Find the next number in the sequence: [5, 18, 12, 16]","The pattern increases by 13, so the next number is...",43
A car moves at 101 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 101 × 1 =,101 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 471 + 521?,Adding 471 to 521 gives...,992
What is 471 - 521?,Subtracting 521 from 471 leaves...,-50
What is 471 × 521?,Multiplying 471 by 521 results in...,245391
What is 471 ÷ 521?,Dividing 471 by 521 gives...,0.9
If I have 11 apples and get 8 more...,11 apples + 8 apples = total...,19 apples
"Find the next number in the sequence: [5, 8, 15, 40]","The pattern increases by 3, so the next number is...",43
A car moves at 92 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 92 × 4 =,368 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 857 + 407?,Adding 857 to 407 gives...,1264
What is 857 - 407?,Subtracting 407 from 857 leaves...,450
What is 857 × 407?,Multiplying 857 by 407 results in...,348799
What is 857 ÷ 407?,Dividing 857 by 407 gives...,2.11
If I have 5 apples and get 6 more...,5 apples + 6 apples = total...,11 apples
"Find the next number in the sequence: [3, 16, 30, 32]","The pattern increases by 13, so the next number is...",58
A car moves at 44 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 44 × 5 =,220 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 486 + 209?,Adding 486 to 209 gives...,695
What is 486 - 209?,Subtracting 209 from 486 leaves...,277
What is 486 × 209?,Multiplying 486 by 209 results in...,101574
What is 486 ÷ 209?,Dividing 486 by 209 gives...,2.33
If I have 5 apples and get 4 more...,5 apples + 4 apples = total...,9 apples
"Find the next number in the sequence: [4, 10, 12, 28]","The pattern increases by 6, so the next number is...",16
A car moves at 73 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 73 × 4 =,292 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 95 + 958?,Adding 95 to 958 gives...,1053
What is 95 - 958?,Subtracting 958 from 95 leaves...,-863
What is 95 × 958?,Multiplying 95 by 958 results in...,91010
What is 95 ÷ 958?,Dividing 95 by 958 gives...,0.1
If I have 5 apples and get 1 more...,5 apples + 1 apples = total...,6 apples
"Find the next number in the sequence: [6, 10, 21, 24]","The pattern increases by 4, so the next number is...",39
A car moves at 59 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 59 × 4 =,236 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 57 + 322?,Adding 57 to 322 gives...,379
What is 57 - 322?,Subtracting 322 from 57 leaves...,-265
What is 57 × 322?,Multiplying 57 by 322 results in...,18354
What is 57 ÷ 322?,Dividing 57 by 322 gives...,0.18
If I have 3 apples and get 8 more...,3 apples + 8 apples = total...,11 apples
"Find the next number in the sequence: [9, 18, 27, 20]","The pattern increases by 9, so the next number is...",29
A car moves at 31 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 31 × 5 =,155 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 110 + 399?,Adding 110 to 399 gives...,509
What is 110 - 399?,Subtracting 399 from 110 leaves...,-289
What is 110 × 399?,Multiplying 110 by 399 results in...,43890
What is 110 ÷ 399?,Dividing 110 by 399 gives...,0.28
If I have 10 apples and get 7 more...,10 apples + 7 apples = total...,17 apples
"Find the next number in the sequence: [7, 6, 30, 4]","The pattern increases by -1, so the next number is...",29
A car moves at 84 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 84 × 5 =,420 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 604 + 814?,Adding 604 to 814 gives...,1418
What is 604 - 814?,Subtracting 814 from 604 leaves...,-210
What is 604 × 814?,Multiplying 604 by 814 results in...,491656
What is 604 ÷ 814?,Dividing 604 by 814 gives...,0.74
If I have 2 apples and get 10 more...,2 apples + 10 apples = total...,12 apples
"Find the next number in the sequence: [7, 2, 9, 20]","The pattern increases by -5, so the next number is...",35
A car moves at 73 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 73 × 1 =,73 km
What is the capital of France?,The capital city of France is...,Paris
What is 387 + 295?,Adding 387 to 295 gives...,682
What is 387 - 295?,Subtracting 295 from 387 leaves...,92
What is 387 × 295?,Multiplying 387 by 295 results in...,114165
What is 387 ÷ 295?,Dividing 387 by 295 gives...,1.31
If I have 13 apples and get 2 more...,13 apples + 2 apples = total...,15 apples
"Find the next number in the sequence: [1, 20, 30, 40]","The pattern increases by 19, so the next number is...",69
A car moves at 70 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 70 × 3 =,210 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 503 + 933?,Adding 503 to 933 gives...,1436
What is 503 - 933?,Subtracting 933 from 503 leaves...,-430
What is 503 × 933?,Multiplying 503 by 933 results in...,469299
What is 503 ÷ 933?,Dividing 503 by 933 gives...,0.54
If I have 13 apples and get 9 more...,13 apples + 9 apples = total...,22 apples
"Find the next number in the sequence: [6, 10, 6, 12]","The pattern increases by 4, so the next number is...",29
A car moves at 68 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 68 × 4 =,272 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 503 + 59?,Adding 503 to 59 gives...,562
What is 503 - 59?,Subtracting 59 from 503 leaves...,444
What is 503 × 59?,Multiplying 503 by 59 results in...,29677
What is 503 ÷ 59?,Dividing 503 by 59 gives...,8.53
If I have 11 apples and get 3 more...,11 apples + 3 apples = total...,14 apples
"Find the next number in the sequence: [7, 8, 6, 24]","The pattern increases by 1, so the next number is...",31
A car moves at 66 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 66 × 3 =,198 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 147 + 169?,Adding 147 to 169 gives...,316
What is 147 - 169?,Subtracting 169 from 147 leaves...,-22
What is 147 × 169?,Multiplying 147 by 169 results in...,24843
What is 147 ÷ 169?,Dividing 147 by 169 gives...,0.87
If I have 12 apples and get 6 more...,12 apples + 6 apples = total...,18 apples
"Find the next number in the sequence: [8, 2, 27, 8]","The pattern increases by -6, so the next number is...",4
A car moves at 66 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 66 × 2 =,132 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 352 + 964?,Adding 352 to 964 gives...,1316
What is 352 - 964?,Subtracting 964 from 352 leaves...,-612
What is 352 × 964?,Multiplying 352 by 964 results in...,339328
What is 352 ÷ 964?,Dividing 352 by 964 gives...,0.37
If I have 4 apples and get 8 more...,4 apples + 8 apples = total...,12 apples
"Find the next number in the sequence: [7, 10, 15, 8]","The pattern increases by 3, so the next number is...",33
A car moves at 118 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 118 × 1 =,118 km
What is the capital of France?,The capital city of France is...,Paris
What is 21 + 155?,Adding 21 to 155 gives...,176
What is 21 - 155?,Subtracting 155 from 21 leaves...,-134
What is 21 × 155?,Multiplying 21 by 155 results in...,3255
What is 21 ÷ 155?,Dividing 21 by 155 gives...,0.14
If I have 7 apples and get 4 more...,7 apples + 4 apples = total...,11 apples
"Find the next number in the sequence: [4, 4, 18, 8]","The pattern increases by 0, so the next number is...",25
A car moves at 74 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 74 × 5 =,370 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 820 + 587?,Adding 820 to 587 gives...,1407
What is 820 - 587?,Subtracting 587 from 820 leaves...,233
What is 820 × 587?,Multiplying 820 by 587 results in...,481340
What is 820 ÷ 587?,Dividing 820 by 587 gives...,1.4
If I have 7 apples and get 1 more...,7 apples + 1 apples = total...,8 apples
"Find the next number in the sequence: [6, 16, 27, 36]","The pattern increases by 10, so the next number is...",30
A car moves at 104 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 104 × 3 =,312 km
What is the capital of France?,The capital city of France is...,Paris
What is 85 + 427?,Adding 85 to 427 gives...,512
What is 85 - 427?,Subtracting 427 from 85 leaves...,-342
What is 85 × 427?,Multiplying 85 by 427 results in...,36295
What is 85 ÷ 427?,Dividing 85 by 427 gives...,0.2
If I have 8 apples and get 8 more...,8 apples + 8 apples = total...,16 apples
"Find the next number in the sequence: [4, 2, 9, 16]","The pattern increases by -2, so the next number is...",43
A car moves at 69 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 69 × 4 =,276 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 951 + 543?,Adding 951 to 543 gives...,1494
What is 951 - 543?,Subtracting 543 from 951 leaves...,408
What is 951 × 543?,Multiplying 951 by 543 results in...,516393
What is 951 ÷ 543?,Dividing 951 by 543 gives...,1.75
If I have 5 apples and get 3 more...,5 apples + 3 apples = total...,8 apples
"Find the next number in the sequence: [6, 14, 6, 32]","The pattern increases by 8, so the next number is...",18
A car moves at 98 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 98 × 1 =,98 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 797 + 634?,Adding 797 to 634 gives...,1431
What is 797 - 634?,Subtracting 634 from 797 leaves...,163
What is 797 × 634?,Multiplying 797 by 634 results in...,505298
What is 797 ÷ 634?,Dividing 797 by 634 gives...,1.26
If I have 7 apples and get 10 more...,7 apples + 10 apples = total...,17 apples
"Find the next number in the sequence: [10, 12, 9, 8]","The pattern increases by 2, so the next number is...",27
A car moves at 96 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 96 × 4 =,384 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 163 + 575?,Adding 163 to 575 gives...,738
What is 163 - 575?,Subtracting 575 from 163 leaves...,-412
What is 163 × 575?,Multiplying 163 by 575 results in...,93725
What is 163 ÷ 575?,Dividing 163 by 575 gives...,0.28
If I have 1 apples and get 2 more...,1 apples + 2 apples = total...,3 apples
"Find the next number in the sequence: [6, 2, 9, 16]","The pattern increases by -4, so the next number is...",11
A car moves at 74 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 74 × 3 =,222 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 820 + 72?,Adding 820 to 72 gives...,892
What is 820 - 72?,Subtracting 72 from 820 leaves...,748
What is 820 × 72?,Multiplying 820 by 72 results in...,59040
What is 820 ÷ 72?,Dividing 820 by 72 gives...,11.39
If I have 4 apples and get 10 more...,4 apples + 10 apples = total...,14 apples
"Find the next number in the sequence: [4, 18, 27, 32]","The pattern increases by 14, so the next number is...",44
